,7601,7602,7603,7604,7605,7606,7607,7608,7609,7610,7612,7613,7614,7616,7617,7618,7619,7620,7622,7623,7625,7626,7627,7628,7629,7631,7632,7633
7601,NA,1,1,1,1,1,2,0,1,1,1,2,0,1,2,1,-1,0,-2,2,0,0,0,0,0,1,0,1
7602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7604,2,0,0,NA,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7605,1,2,1,0,NA,1,2,0,1,1,2,2,0,1,1,2,1,1,2,2,2,0,1,0,1,0,0,0
7606,1,1,0,0,0,NA,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0
7607,0,0,0,0,2,0,NA,-2,0,0,2,2,0,1,0,2,0,2,2,2,0,0,0,0,0,1,0,0
7608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7609,0,-1,2,-1,0,0,-1,0,NA,-1,0,2,1,1,0,0,-1,-1,0,2,1,2,2,0,2,0,1,-1
7610,1,0,0,1,1,0,0,0,0,NA,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7612,0,2,0,0,2,0,2,0,0,0,NA,1,1,2,1,1,1,1,1,2,1,0,1,-1,1,-2,0,-2
7613,1,0,1,0,0,1,0,0,1,0,0,NA,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
7614,0,1,1,1,1,1,0,0,0,1,0,1,NA,1,0,1,0,0,1,1,-1,0,0,0,-1,0,0,0
7616,0,0,0,0,1,1,0,0,1,2,2,1,1,NA,-1,0,1,1,1,2,1,2,0,-1,0,-1,0,0
7617,1,0,0,1,1,1,0,0,2,0,0,2,1,0,NA,0,1,2,1,2,0,1,2,2,1,0,0,2
7618,0,2,0,0,2,0,2,0,0,0,2,0,0,1,0,NA,1,2,1,2,1,0,2,0,1,0,0,0
7619,0,1,0,-1,1,0,1,0,0,-1,1,0,-1,1,-2,1,NA,2,2,1,0,0,1,-1,-1,-1,0,0
7620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7622,-1,2,0,-1,2,1,1,-1,0,-1,2,0,-1,1,-1,1,2,2,NA,2,0,-1,0,-1,-1,-1,-1,-1
7623,2,1,1,2,1,1,1,0,2,-1,2,2,0,2,1,2,1,1,2,NA,2,2,1,1,2,1,1,1
7625,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,NA,1,-1,0,2,0,0,0
7626,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
7627,0,0,0,-2,1,-1,0,2,0,0,0,0,0,1,2,1,1,1,2,1,1,0,NA,0,2,-1,0,0
7628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7629,1,0,2,-1,2,0,0,-1,2,-1,2,1,1,1,1,1,1,0,0,2,2,1,2,-1,NA,-1,0,0
7631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7632,0,0,1,1,1,1,0,0,1,1,1,2,0,2,0,0,0,1,0,1,0,1,1,0,1,0,NA,0
7633,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,2,0,2,1,NA
